raw_text,text_tfidf,text_bert,time,label
﻿﻿공매도 막혔네 오르나,공매도 막혔네 오르나,공매도 막혔네 오르나,2025-04-01T06:53:02+09:00,0
﻿﻿고점에샀으니 슬슬 올라가야지,고점에샀으니 슬슬 올라가야지,고점에샀으니 슬슬 올라가야지,2025-04-02T09:57:09+09:00,2
﻿﻿162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥!,162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥,162000원에 매수 걸어놨는데 과연 매수가 될것인가 두둥!,2025-04-01T08:31:40+09:00,2
﻿﻿갑자기 ??,갑자기,갑자기 ??,2025-04-01T11:19:15+09:00,1
﻿﻿관세발표 후 '선반영' '불확실성해소',관세발표 후 선반영 불확실성해소,관세발표 후 선반영 불확실성해소,2025-04-01T14:35:11+09:00,1
﻿﻿하이닉스는 18만에 사서 21만원에 매도. 이것만 반복하면 돈복사 꿀잼,하이닉스는 18만에 사서 21만원에 매도 이것만 반복하면 돈복사 꿀잼,하이닉스는 18만에 사서 21만원에 매도. 이것만 반복하면 돈복사 꿀잼,2025-04-01T08:52:52+09:00,0
﻿﻿공매도 과열 ㄷㄷ... 일단 추매 시기는 좀더 봐야하나,공매도 과열 일단 추매 시기는 좀더 봐야하나,공매도 과열 ㄷㄷ... 일단 추매 시기는 좀더 봐야하나,2025-04-01T08:11:25+09:00,0
﻿﻿장투만 하다가 단타 테스트 했는데 ㅋㅋㅋ 이거 수 수수료가 너무 많아서 안되겠네,장투만 하다가 단타 테스트 했는데 이거 수 수수료가 너무 많아서 안되겠네,장투만 하다가 단타 테스트 했는데 ㅋㅋㅋ 이거 수 수수료가 너무 많아서 안되겠네,2025-04-02T11:36:02+09:00,0
﻿﻿오늘살까 다음주살까?,오늘살까 다음주살까,오늘살까 다음주살까?,2025-04-01T08:38:43+09:00,1
﻿﻿1. 나스닥 트럼프 관세 발표 경계심에 강보합.  - 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다...  2. 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락.  3. 원달러 환율 1474원.  - 한국 경제에 위기의 그림자가 느껴진다.  4. 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22% 성장 자동차는 6배 성장.  5. 미국 제조업 중국보다 경쟁력 뒤쳐져. 전기차(EV) 인공지능(Ai) 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나.조선업 생산 능력에서는 500배 차이.  중국 신문 발표가 아니라 일본 닛케이 보도.   6. 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호.  7. 김수현 인터뷰 요약 : 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구  8. 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황.  - ? 이건 생각도 못했는데...요새 진짜 내가 모르는 중요한 뭔가가 있나?,1 나스닥 트럼프 관세 발표 경계심에 강보합 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다 2 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락 3 원달러 환율 1474원 한국 경제에 위기의 그림자가 느껴진다 4 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22 성장 자동차는 6배 성장 5 미국 제조업 중국보다 경쟁력 뒤쳐져 전기차EV 인공지능Ai 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나조선업 생산 능력에서는 500배 차이 중국 신문 발표가 아니라 일본 닛케이 보도 6 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호 7 김수현 인터뷰 요약 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구 8 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황 이건 생각도 못했는데요새 진짜 내가 모르는 중요한 뭔가가 있나,1. 나스닥 트럼프 관세 발표 경계심에 강보합. 트형 취임하고 이제 2달 지났는데 한 2년 지난거 같다... 2. 미 FDA 백신 책임자 사퇴에 바이오 섹터 주가 하락. 3. 원달러 환율 1474원. 한국 경제에 위기의 그림자가 느껴진다. 4. 화웨이 미국의 제재에도 지속적인 성장 작년 전체 매출 22 성장 자동차는 6배 성장. 5. 미국 제조업 중국보다 경쟁력 뒤쳐져. 전기차EV 인공지능Ai 반도체 우주 등 미래 핵심 산업에서 중국에 크게 뒤쳐진 것으로 나타나.조선업 생산 능력에서는 500배 차이. 중국 신문 발표가 아니라 일본 닛케이 보도. 6. 남중국해 심해 유전 발견 하루 413배럴 생산 가능성 중국 에너지 자립에 청신호. 7. 김수현 인터뷰 요약 김새론이 성인이 된 후 1년간 교제 평범한 연인 가세연과 김새론 부모 측에 120억 손해배상 청구 8. 장제원 전 의원 숨진 채 발견 성폭행 혐의로 고소 당한 상황. ? 이건 생각도 못했는데...요새 진짜 내가 모르는 중요한 뭔가가 있나?,2025-04-01T07:43:05+09:00,0
