raw_text,text_tfidf,text_bert,time,label
﻿﻿너무조아,너무조아,너무조아,2025-04-01T22:49:21+09:00,1
﻿﻿오늘 휴장인가요?,오늘 휴장인가요,오늘 휴장인가요?,2025-04-02T00:09:23+09:00,1
﻿﻿그냥 나스닥 안좋으면 얘가 방어하네,그냥 나스닥 안좋으면 얘가 방어하네,그냥 나스닥 안좋으면 얘가 방어하네,2025-04-01T22:57:56+09:00,1
﻿﻿개미들은 가라! 사과의 봄은 온다이잇!,개미들은 가라 사과의 봄은 온다이잇,개미들은 가라! 사과의 봄은 온다이잇!,2025-04-01T04:53:34+09:00,1
﻿﻿지금 1퍼 양전인데 댓글보면 10퍼 오른줄 알겠어 시장 상황이 심각하긴 한가보네,지금 1퍼 양전인데 댓글보면 10퍼 오른줄 알겠어 시장 상황이 심각하긴 한가보네,지금 1퍼 양전인데 댓글보면 10퍼 오른줄 알겠어 시장 상황이 심각하긴 한가보네,2025-04-01T00:58:12+09:00,2
﻿﻿발담구기 입갤,발담구기 입갤,발담구기 입갤,2025-04-02T00:38:41+09:00,1
﻿﻿팔게,팔게,팔게,2025-04-01T20:38:08+09:00,1
﻿﻿애멘 다신 배신하지 않겠습니다 다시 떨어져주세요 ㅠㅠ,애멘 다신 배신하지 않겠습니다 다시 떨어져주세요,애멘 다신 배신하지 않겠습니다 다시 떨어져주세요 ㅠㅠ,2025-04-01T07:17:13+09:00,0
﻿﻿바잇,바잇,바잇,2025-04-01T11:04:23+09:00,1
﻿﻿옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다..,옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다,옆동네 개잡주 보다가 이친구 보니까 참 마음이 따뜻해진다..,2025-04-02T00:09:36+09:00,0
﻿﻿역시 든든해 애플,역시 든든해 애플,역시 든든해 애플,2025-04-01T13:43:25+09:00,1
﻿﻿얜 그냥 지린다.,얜 그냥 지린다,얜 그냥 지린다.,2025-04-01T00:12:43+09:00,1
﻿﻿근데 애플이 안오르네... 그럼...?,근데 애플이 안오르네 그럼,근데 애플이 안오르네... 그럼...?,2025-04-02T01:42:21+09:00,2
﻿﻿돌아와라,돌아와라,돌아와라,2025-04-01T07:16:44+09:00,1
﻿﻿8% 수익중!!!!!!!!!!!!!!!!!!!!!!!!!!,8 수익중,8 수익중!!!!!!!!!!!!!!!!!!!!!!!!!!,2025-04-02T15:19:43+09:00,2
﻿﻿오늘 기대할게??,오늘 기대할게,오늘 기대할게??,2025-04-01T21:23:38+09:00,1
﻿﻿제발ㅋ,제발,제발ㅋ,2025-04-02T07:38:39+09:00,1
﻿﻿올라올랄,올라올랄,올라올랄,2025-04-01T22:48:27+09:00,2
﻿﻿모으기도좋아요,모으기도좋아요,모으기도좋아요,2025-04-01T02:59:19+09:00,2
﻿﻿애멘~~🙏🏼,애멘,애멘,2025-04-01T01:03:17+09:00,1
﻿﻿소소하게,소소하게,소소하게,2025-04-01T05:13:47+09:00,1
﻿﻿언제 복구될까 돌아와 너 안 그랬잖아,언제 복구될까 돌아와 너 안 그랬잖아,언제 복구될까 돌아와 너 안 그랬잖아,2025-04-01T15:58:33+09:00,1
﻿﻿나스닥 상승한다 애플 떨어질듯,나스닥 상승한다 애플 떨어질듯,나스닥 상승한다 애플 떨어질듯,2025-04-02T00:26:33+09:00,1
﻿﻿한국인이면 애플 주식은 사지마셩ㆍ 중국 외 다 기부하고도 한국엔 1윈도  안하는 기업입니다,한국인이면 애플 주식은 사지마셩 중국 외 다 기부하고도 한국엔 1윈도 안하는 기업입니다,한국인이면 애플 주식은 사지마셩 중국 외 다 기부하고도 한국엔 1윈도 안하는 기업입니다,2025-04-01T23:45:54+09:00,1
